height, code, distance, val, role, tonnes
30,R*NM[9]OWL, 69.389,Cold,Accountant,11086
45,M*JH[6]IDN, 42.057,Cold,Plumber,10271
25,M*TZ[5]MBR, 68.562,Cold,Electrician,4265
19,H*TW[5]XPU, 50.181,Cold,Manager,9416
52,P*HB[8]EWQ, 51.910,Cold,Tester,908
42,E*VV[5]LMM,  7.952,Hot,Plumber,1081
51,T*DS[7]RHN, 50.830,Cold,Director,3332
25,N*DF[4]OMG, 34.895,Hot,Plumber,10718
47,J*XA[2]WTF, 57.121,Cold,Plumber,10825
11,Y*IZ[0]ZDS,117.737,Hot,Secretary,8847
45,S*RA[3]XWH, 87.134,Cold,Co-ordinator,9978
48,C*HR[1]DID, 21.286,Cold,Electrician,9532
40,M*YG[7]ADM, 14.139,Cold,Labourer,9655
42,G*CE[6]CEW, 76.797,Hot,Tester,11251
43,A*FI[0]MEG,  5.790,Cold,PA,7254
51,I*GA[7]BBB, 37.725,Hot,Driver,10210
39,W*MC[8]EZI, 61.283,Cold,Cleaner,10310
17,W*LV[2]KHD, 27.116,Cold,Tester,6541
46,M*WL[5]FSO, 48.486,Cold,PA,11556
54,M*RW[0]NNX,107.198,Hot,Storeman,11610
10,X*BJ[7]HBM, 46.672,Cold,Director,1316
30,G*BV[1]ROZ, 86.468,Hot,Programmer,335
50,X*MZ[92EJU, 93.327,Cold,Director,9961
54,C*SC[0]QTA,107.695,Cold,Manager,10842
39,V*MS[6]HQT, 67.600,Cold,Salesman,10947
16,T*}J[2]ZPH, 50.582,Cold,Salesman,11830
49,F*VT[3]NAI, 21.911,Hot,Manager,10268
7,*LX[8]SUT, 41.345,Hot,Programmer,9097
39,G*IC[6]RD,  7.036,Cold,Accountant,8250
12,P*UJ[9]NOH, 45.859,Cold,Storeman,7358
34,D*NF[2]EAF,  6.773,Hot,Cleaner,11440
6,Z*MI[2]FHP, 87.441,Hot,Plumber,7972
12,S*MY[0]PZO, 65.008,Hot,Secretary,11618
54,F*XB[7]VEO, 15.878,Cold,Labourer,1019
53,U*JK[8]HPB, 38.643,Cold,Salesman,8972
30,B*KO[8]QXO, 52.300,Cold,Manager,8844
23,E*AS[0]DHI,100.229,Cold,Developer,9223
44,N*CP[2]BSI, 24.560,Cold,Storeman,11211
16,F*WY[L]AKL,109.023,Cold,Programmer,7931
54,C*TK[4]VXH, 99.699,Hot,Developer,9502
36,Y*NP[8]ODT,  8.681,Cold,PA,3012
17,V*AJ[6]NWM,  4.300,Hot,Tester,8769
25,R*ZR[9]RHB, 82.686,Cold,Manager,10355
26,N*XE[6]VEQ, 30.389,Hot,Electrician,10015
48,Z*ID[9]WEF, 88.495,Hot,Tester,4030
12,Z*MV[5]MQU, 93.751,Cold,Tester,11468
19,K*EY[4]GIR, 29.842,Hot,Co-ordinator,7916
51,F*OO[5]GHS, 30.786,Cold,Tester,7011
37,N*NR[9]WVK,111.207,Cold,Plumber,9957
39,O*FU[1]BLD, 55.973,Hot,Tester,9934
54,V*IO[9]JKB,112.140,Cold,Plumber,3771
52,E*JT[4]MLJ, 32.035,Cold,Tester,8161
47,A*PZ[1]IXV, 57.352,Cold,Leader,130
50,X*KC[4]ESH, 89.909,Hot,Developer,9376
52,M*YS[8]JKU, 51.411,Cold,Accountant,5489
50,L*DM[2]INZ,118.999,Cold,Co-ordinator,6712
21,R*KB[0]VYM, 82.949,Cold,Salesman,10636
27,JGR[5]VRP, 25.741,Cold,Tester,7270
44,K*NB[5]DLY,  5.852,Cold,Plumber,11508
54,P*ZG[2]WF, 38.798,Cold,Designer,11560
54,G*CU[8]SKL, 56.601,Cold,Electrician,11690
44,F*OL[3]MAL, 21.519,Cold,Leader,10428
50,N*3P[1]GVW, 17.199,Cold,Labourer,8580
33,N*QK[6]NSO, 27.727,Cold,Accountant,9472
23,V*XH[9]WZD, 99.644,Cold,Director,11663
27,H*DX[2]EKD, 36.528,Cold,Developer,6412
49,A*RU[5]NX, 32.090,Cold,Programmer,5117
50,M*TC[0]SWJ, 65.287,Hot,Electrician,558
35,Q*QT[0]LWF, 65.689,Cold,PA,9235
44,Y*YQ[2]IPG, 54.432,Hot,Plumber,3425
51,F*UT[3]LNR, 35.289,Hot,Tester,6386
12,O*JH[6]EME, 40.110,Cold,Tester,8066
38,T*UV[0]NWU, 11.908,Hot,Tester,10597
49,K*ZZ[2]CGB, 87.692,Hot,Tester,10869
45,N*XD[0]AEO, 71.311,Cold,Salesman,8657
48,WwUX[6]ILT, 29.155,Cold,Labourer,9921
51,R*AO[6]ZRV, 44.101,Hot,Director,11267
47,D*TJ[9]NAZ, 97.144,Cold,Manager,11046
12,Q*WL[2]TPC,100.307,Cold,Co-ordinator,1877
41,Y*AV[4]LMV, 99.278,Cold,Labourer,7243
42,C*NJ[1]OJX, 24.015,Cold,Labourer,9610
10,R*UH[3]OJQ, 17.989,Hot,Designer,9268
43,D*JO[6]IGX, 79.143,Cold,Director,8751
20,T*KD[4]CCA, 77.313,Cold,Accountant,8506
50,A*EI[7]XKJ, 15.267,Cold,Designer,11160
52,T*YR[4]NEA,  8.453,Hot,Driver,8932
25,P*CP[3]BNU, 30.929,Cold,PA,9433
26,W*VT[9]QPA, 12.988,Cold,Cleaner,3848
45,W*IR[9]QSX, 20.238,Hot,Storeman,9999
13,W*CI[9]SBC,  6.258,Cold,Co-ordinator,3820
47,G*WB[{]OMH, 73.985,Hot,Electrician,9052
17,Q*TD[0]VSH, 62.769,Cold,Manager,2627
21,P*VD[3]DAE, 77.252,Cold,Director,6237
41,N*GZ[6]HQM, 28.657,Cold,Director,9754
52,J*QV[7]QGR, 86.955,Cold,Programmer,8283
39,A*CT[8]WHA, 88.832,Cold,Salesman,9673
24,Q*QJ[4]XNJ, 34.866,Hot,Cleaner,10268
11,DxQL[9]ETW, 43.448,Hot,Cleaner,6531
42,ERE[6]SLN, 86.678,Cold,Director,11540
43,F*GL[5]SBP, 66.413,Cold,PA,9782
28,J*CZ[1]ROT, 53.308,Cold,Tester,11878
12,R*EJ[6]XCS, 52.537,Cold,Tester,11395
35,X*5O[0]NYR, 28.065,Hot,Storeman,11284
42,A*FF[7]VPS, 50.355,Cold,Tester,10535
40,A*OZ[4]KQE,115.277,Hot,Labourer,10401
43,H*JL[2]3QG, 97.976,Hot,Secretary,4056
42,T*ZJ[8]ARV, 17.672,Cold,Manager,4290
8,A*GR[4]FSJ, 92.948,Hot,PA,10545
47,A*NA[7]NYN,114.890,Cold,Secretary,10364
51,K*MRb7]UFM, 76.346,Cold,Labourer,4517
6,R*IB[6]XFC,  4.354,Hot,Electrician,10071
53,J*OT[4]VZS, 50.624,Cold,Secretary,3672
8,c*BA[4]GMG, 53.184,Hot,Developer,4283
46,A*UR[9]BVE, 32.295,Hot,Electrician,6771
39,S*LE[7]DBF, 68.520,Cold,Programmer,4105
46,Y*SA[9]WAG, 86.232,Hot,Electrician,2022
42,K*JT[1]TSA, 55.118,Cold,Programmer,9777
48,Z*KW[2]RSZ, 16.158,Cold,Director,8608
43,O*XQ[0]LXO, 63.705,Cold,Tester,10924
47,W*EV[2]HNJ, 14.720,Hot,Programmer,10922
9,N*CS[1]IFK, 96.889,Hot,Plumber,3077
47,L*MI[m]FYC,111.760,Hot,Co-ordinator,11672
45,T*OD[5]UMW, 62.135,Cold,Developer,3652
54,J*OG[7]MPP,104.434,Hot,Cleaner,6690
42,V*XU[8]KGP, 15.174,Cold,Labourer,3689
29,T*RV[1]IHK, 64.863,Cold,Director,10534
27,S*D[9]PLE, 88.397,Cold,Driver,9397
44,D*JX[4]OHT, 23.592,Cold,Director,10923
48,E*BB[0]AAO, 42.015,Cold,Manager,2908
13,C*UW[0]KMJ, 42.235,Cold,Secretary,8969
39,B*SM[9]IDG,113.913,Cold,Salesman,9318
47,L*KU[6]SKO,108.947,Cold,Accountant,2411
39,K*X[1]HVN, 39.743,Hot,PA,5854
39,X*QF[8]NJA, 36.434,Cold,Director,9629
44,E*KT[6]WYN,112.617,Cold,Storeman,4681
50,S*GI[9]SJW,117.531,Hot,Director,4767
43,I*TP[7]SLU, 78.677,Hot,Plumber,8123
10,K*GH[5]BJX, 72.156,Hot,Electrician,6826
25,G*SS[5]AMA, 15.207,Hot,Salesman,10862
49,A*iB[9]YUU, 81.348,Cold,Developer,11469
31,K*9T[0]OMK, 20.892,Cold,Labourer,7613
13,O*VT[4]TOT, 15.436,Cold,Secretary,1110
29,Z*SE[1]WYJ, 99.169,Hot,Programmer,8395
24,H*IE[2]HJF, 21.850,Hot,Director,10923
42,I*UD[2]DOV, 61.014,Cold,Driver,10738
17,F*BG[6]NJL,104.187,Cold,Cleaner,9324
11,Y*XT[4]VHE,  6.602,Cold,Manager,536
53,F*CM[4]QWJ, 35.027,Cold,Director,7855
6,U*EW[0]XOV, 44.409,Cold,Programmer,9533
43,D*GG[5]OLL, 95.776,Hot,Electrician,2952
45,S*GT[2]TTK, 48.581,Hot,Programmer,10164
39,B*GN[7]SVA, 91.299,Cold,Salesman,7253
19,U*RO[7]PGG, 63.377,Cold,Co-ordinator,7817
49,X*IL[0]UYS, 45.413,Cold,PA,7898
41,B*IX[0]GVJ, 93.172,Hot,Secretary,9483
23,A*WN[5]BUI, 90.149,Cold,Labourer,8945
51,N*WO[3]DUT,  6.003,Hot,Developer,10555
37,Y*TT[9]SAO,118.671,Hot,Plumber,6120
53,O*ML[5]LCI, 96.006,Cold,Plumber,8978
44,Q*DM[4]BLS, 30.502,Hot,Co-ordinator,5016
49,P*CV[1]XSS, 45.017,Hot,Salesman,9092
39,J*YF[8]BGE, 10.391,Cold,Director,6527
47,E*WT[3]CPF,108.774,Hot,Manager,2364
46,E*FX[1]TOK, 31.568,Cold,PA,10390
37,Y*YJ[3]GHT, 25.306,Cold,Tester,4273
41,I*UU[6]MFR, 52.169,Hot,Storeman,10923
46,B*CF[7]BNW, 45.832,Cold,Tester,8557
9,D*MS[9]TNP,118.963,Cold,Driver,3257
29,H*VO[1]NAN, 48.283,Hot,Secretary,4502
11,A*HD[9]OZJ,  3.247,Hot,PA,5691
46,U*FH[0XIWK, 57.476,Hot,Director,971
27,K*CY[7]IDR, 35.550,Cold,Cleaner,6741
28,X*BA[5]HAA,101.529,Cold,Cleaner,10921
41,T*RC[5]NLW, 96.397,Cold,Labourer,10380
7,I*TR[4]LGC, 35.044,Hot,Cleaner,11691
27,N*5E[5]OAF, 54.198,Cold,Secretary,1806
51,T*XH[1]BWT, 88.235,Hot,Cleaner,10509
46,C*&T[1]UYY, 54.739,Hot,PA,10166
54,T*RR[4]AHB, 77.718,Cold,PA,6384
25,E*LA[7]FCY, 22.064,Hot,PA,7805
44,Q*GP[9hVNV, 33.593,Cold,PA,5716
48,A*FB[4]DBM, 41.533,Hot,Director,9483
46,O*YK[7]VSS, 59.062,Hot,Tester,10240
41,X*HR[6]MJT, 63.719,Hot,Electrician,913
25,R*RX[0]MKH, 87.410,Hot,Manager,6486
30,G*AM[9]JLW, 90.718,Hot,Cleaner,11576
41,H*RO[O]UQV, 88.466,Cold,Labourer,2001
29,P*GT[7]IVN, 91.454,Cold,Developer,8622
52,Q*YV[1]ATF, 55.787,Cold,Developer,11110
45,N*UR[9]CJD, 90.565,Cold,Plumber,8393
40,O*AB[9]XRB, 54.697,Hot,Labourer,3335
23,A*DA[0]VHD, 13.150,Hot,Plumber,11200
40,O*FO[9]FNW,112.903,Cold,Cleaner,9003
46,Q*VE[3]HNE, 59.732,Hot,Developer,11458
50,P*SN[6]WAL, 41.078,Cold,Director,8182
40,X*UE[0]CQM,  5.622,Cold,Salesman,11026
47,T*FM[4]QQ, 24.202,Cold,PA,11529
31,Y*QD[6]ZIK, 67.981,Cold,Electrician,9425
46,F*VY[9]ZTP, 91.264,Cold,Salesman,6954
31,E*LEV4]BZO, 48.120,Hot,Plumber,11763
53,L*AN[0]BVE,101.378,Cold,Leader,1263
11,Q*BR[7]MVM, 63.404,Hot,Cleaner,11222
34,Y*FS[6]UNF,119.328,Cold,Cleaner,11258
52,S*XP[4]FEL, 53.909,Hot,Secretary,5438
47,V*GU[2]LNF,111.924,Hot,Tester,6467
41,J*RA[8]YEJ, 68.232,Cold,Director,9658
46,Q*GD[2]uTPW, 81.419,Hot,Electrician,9009
6,Z*UI[3]BZY,  7.786,Cold,Labourer,11740
51,O*UW[1]XBU, 30.484,Hot,Plumber,10576
48,I*LR[7]XGX, 91.373,Cold,Leader,8951
28,A*JO[1]YRR, 33.569,Hot,Electrician,7788
45,Z*HL[4]%YX, 34.076,Cold,Leader,9371
31,W*SH[9]NVT, 10.367,Cold,Tester,8634
48,E*XD[6]AUO, 81.883,Hot,Storeman,7709
7,I*MX[3]PMZ, 48.937,Cold,Director,10902
46,U*EL[3BME, 20.718,Cold,Storeman,11917
51,H*HI[3]LBV,114.896,Cold,Developer,1766
40,P*VT[4]KEA, 30.057,Cold,Co-ordinator,9131
44,D*QD[4]KPD,115.018,Cold,Salesman,11930
44,G*MH[1]YNO,115.758,Hot,Accountant,9555
19,K*UW[2]BRM, 56.058,Cold,Programmer,8221
50,F*OQ[9]SYB, 51.617,Cold,Secretary,11964
14,G*RI[0]SYG, 98.500,Hot,Tester,1707
54,G*PH[0]QLC, 27.917,Cold,PA,10335
49,M*PT[4]UUS,  8.547,Hot,PA,8943
43,M*FL[6]CZR, 24.320,Hot,Secretary,8869
47,zB*IM[9]RLG,  8.200,Hot,Co-ordinator,8959
25,d*SW[3]CSB,115.028,Cold,Electrician,11398
18,L*MJ[7]SSL, 79.036,Hot,Programmer,7336
50,S*L[0]KPN, 70.704,Cold,Secretary,10854
44,D*FX[5]GPU, 23.006,Cold,Tester,1671
22,F*QN[8]STX, 23.416,Cold,Programmer,10132
49,S*KI[2]zMMB, 51.049,Cold,Secretary,10599
7,A*JZ[2]CSV, 63.642,Cold,Manager,7915
47,LAV[3]UMU, 21.464,Cold,Driver,7171
50,R*LB[7]GJZ, 99.252,Hot,Tester,10468
51,D*QJ[2]ETE, 30.800,Cold,Co-ordinator,8548
8,V*UB[9]UJX, 74.655,Cold,Cleaner,11506
48,L*OF[3]WHT, 80.658,Hot,Co-ordinator,8887
43,J*LI[9]WEK,101.381,Cold,Electrician,1926
41,U*AO[0]MXN, 73.183,Hot,Tester,9372
52,Q*RJ[9]QTV,107.834,Cold,Co-ordinator,7658
36,Y*SI[7]XCG, 40.939,Cold,Developer,8060
53,G*EV[1]WKT,  3.765,Cold,Director,2123
53,G*TD[5]FRH,101.181,Cold,Developer,6240
40,N*TH[4]LCB, 42.207,Hot,Labourer,9626
34,d*NF[9]KOS,118.558,Cold,Tester,10673
43,T*ET[8]RPA, 44.551,Hot,Manager,2359
38,G*QX[5]OJZ, 25.083,Hot,Director,11966
14,W*GJ[5]RMQ, 83.326,Cold,PA,4639
46,G*ZE[9]M6K, 36.903,Cold,Tester,8274
50,O*RT[3]PFA,105.054,Cold,Tester,78
18,M*AF[1]EEX, 50.575,Hot,Director,9923
28,H*I0[5]BNP,  7.035,Cold,Director,3108
22,C*HU[5]KFT, 84.534,Hot,Accountant,9127
43,H*ZP[1]WTQ, 72.164,Hot,Director,10398
42,U*TN[2]FNU,117.587,Cold,Plumber,6509
10,C*NU[8]WKD, 78.472,Cold,Labourer,2156
46,U*ZG[2]UYH, 84.035,Cold,Co-ordinator,9639
39,Z*GI[3]XPV, 34.266,Hot,Cleaner,6093
39,P*LS[0]HGB, 77.560,Hot,Plumber,8955
37,L*VG[6]KNZ, 73.916,Cold,Cleaner,11973
46,A*HCz2]ULW, 32.856,Hot,Director,3776
48,H*GX[0]XEM, 32.027,Cold,Director,10096
19,E*OA[4]VOV, 15.588,Hot,Director,8461
28,X*JXO9]UYO,113.392,Cold,Tester,9001
50,J*UL[5]LDP, 19.711,Cold,Programmer,11934
45,V*VF[9]ITZ, 96.561,Hot,Secretary,9790
52,U*YZ[3]JRC, 71.884,Cold,Salesman,273
46,W*CV[6]DJZ,106.362,Cold,Cleaner,10594
41,V*WD[1]JAN,118.011,Hot,Salesman,9997
31,Q*HR[8]KRE,103.041,Cold,Cleaner,2077
50,F*MS[0]DHZ, 63.109,Cold,Programmer,1713
47,A*SY[1]EPR, 56.206,Cold,Developer,8579
42,X*SX[2]IDT, 70.095,Cold,Accountant,9101
43,N*IK[5]SMV, 58.415,Hot,Manager,325
27,H*DL[5QAX, 24.329,Cold,Tester,8200
43,Y*LJ[1]MUC, 87.105,Hot,Leader,9548
49,I*WM[2]SXL, 64.040,Hot,Developer,11750
47,L1*JG[6]OLK, 68.140,Cold,Director,8525
6,F*KX[0]HYS, 71.609,Cold,Programmer,4440
16,B*WC[0]KPW, 39.632,Cold,Programmer,5646
10,F*BY[6]VES, 90.418,Hot,Accountant,5815
40,I*AN[1]WKR, 44.602,Cold,Developer,8962
54,V*TZ[6]ZGX, 14.279,Cold,Developer,4041
20,Z*LO[5]WFU, 64.800,Hot,Co-ordinator,11352
50,C*5G[6]MEU, 84.099,Cold,Developer,7400
43,E*CZ[4]RDC, 98.757,Cold,Electrician,10055
50,J*MQ[1]WpPO, 94.233,Cold,Cleaner,942
23,S*EC[0]NTF, 12.186,Hot,Programmer,8983
51,W*XW[8]ZXK,109.201,Hot,PA,8303
51,Z*HP[0]JYR, 75.157,Cold,PA,6213
44,P*PB[9]JSL, 46.321,Hot,Accountant,5517
22,Y*PG[4]REO, 30.053,Cold,Director,9826
50,X*BA[1]OCR, 29.929,Cold,Co-ordinator,11537
39,B*RP[5]FTF, 92.161,Cold,Programmer,4153
50,P*TN[2]OCV,  9.749,Hot,Electrician,10075
41,X*BB[3]NMC, 47.614,Cold,Storeman,10691
7,T*FQ[4]CDG, 19.688,Hot,Plumber,10517
48,M*BY[9]KKF,112.198,Cold,Driver,241
9,G*IZ[0]NKO, 21.212,Cold,Plumber,9892
43,RTYG[2]BIC, 73.884,Cold,Developer,2891
10,W*CR[7]QWG,105.483,Cold,Leader,7857
15,D*NEl8]YUT, 31.849,Cold,Programmer,9891
43,A*WV[5]IIW, 43.426,Hot,Developer,9181
48,E*YY[3]ZRP, 88.613,Cold,PA,8062
54,Y*ZO[1]HTV, 97.709,Cold,Plumber,9215
54,*FD[0]HMD, 55.422,Cold,Director,8900
49,W*XX[9]AWJ, 26.436,Hot,Cleaner,7129
46,F*VB[4]MNV, 27.217,Hot,Manager,9698
54,A*DP[4]QNR, 17.785,Hot,Director,2779
48,B*YX[2]ETP, 77.365,Hot,Co-ordinator,3190
53,Z*EJ[0]ECA, 63.365,Cold,Developer,1104
29,K*XO[8]SZJ, 11.880,Cold,PA,10797
24,D*AF[6]CBH, 42.669,Cold,Electrician,8676
53,E*PK[9]SXG, 14.861,Hot,Labourer,8352
39,G*BR[8]SSA, 28.243,Hot,Plumber,11223
11,C*OH8]MNN, 58.664,Cold,Programmer,249
11,W*QR75]OET, 90.518,Hot,Plumber,10819
34,X*UG[4]GFH,118.312,Cold,Co-ordinator,8021
44,P*NK[0]VPU, 40.421,Cold,Manager,2189
39,V*QN[5]WAU, 98.179,Hot,Programmer,10843
49,H*FY[8]LPY,113.378,Hot,Director,3048
9,SuTN[1]PYE, 43.008,Cold,Labourer,7386
41,1*KO[1]UJJ, 25.938,Hot,Developer,8984
40,O*JZ[7]UDR, 22.575,Hot,Tester,4116
44,X*CO[2]VIM, 25.813,Cold,Programmer,6857
34,M*PL[2]OWK,110.201,Cold,Plumber,1823
50,T*TR[5]AHJ, 66.579,Cold,Leader,9218
52,E*GF[8]BYT,110.514,Cold,PA,7849
13,Y*XZ[5]YLP, 23.225,Cold,Tester,11317
6,H*VN[0]SBY, 53.639,Cold,Plumber,9446
34,F*AQ[8]QCI, 99.125,Cold,Salesman,8495
9,C*XL[3]BZV, 99.552,Cold,PA,10847
43,N7KR[4]WYG, 32.386,Cold,Electrician,8376
47,L*GS[0]EBX,103.740,Cold,Director,9865
45,Y*UW[9]JLT, 84.435,Cold,Director,9676
34,B*WH[5]BMX,113.353,Cold,Labourer,5619
36,N*US[5]PEU, 77.462,Hot,Co-ordinator,9646
20,E*VY[3]WWK, 71.727,Cold,Secretary,9448
15,R*HE[1]RPN, 12.152,Cold,Plumber,11094
28,J*LI[4]ZWZ, 64.052,Hot,PA,6490
50,B*IU[7]MVI, 56.125,Cold,Labourer,11025
39,Y*JC[7]SLX, 10.820,Cold,Secretary,10590
54,Y*TP[5]RTX, 16.852,Hot,Director,11438
15,R*MT[1]FBX, 79.065,Hot,Director,9739
37,L*QX[8]CXK, 46.033,Cold,Director,4047
52,U*JK[7]BVQ, 99.472,Cold,Storeman,9334
14,I*QH[5]FPT,103.640,Cold,Director,8105
52,E*IF[0]CIO, 88.529,Cold,Plumber,11697
52,O*ZK[4]TBQ, 56.864,Cold,Labourer,3097
35,U*ZJ[9]RVF, 76.017,Cold,Director,11180
6,R*UC[8]HQT, 43.781,Cold,Labourer,10533
46,X*WH[8]SIP, 70.837,Hot,Electrician,4995
46,P*XN[7]TYN, 90.465,Cold,Labourer,10460
43,N*VK[6]WIT, 87.570,Hot,PA,10170
40,N*LN[9]UWQ, 69.309,Hot,Director,8156
8,K*HW[0]TDJ, 63.387,Cold,Cleaner,10003
52,K*ZE[0]LLC, 81.464,Hot,Developer,2663
53,G*KN[1]TTU, 39.425,Hot,Tester,5840
22,H*XI[4]JLG, 33.821,Hot,Secretary,825
48,Z*WY[6]BER, 37.224,Cold,Salesman,10759
17,N*ZR[4]WVI, 55.559,Cold,Cleaner,9654
36,B*RM[4]TTF, 70.350,Hot,Programmer,7791
41,V*LR[5]IBG, 14.521,Cold,Secretary,10798
47,B*ZJ[9]ISI, 85.104,Hot,PA,8540
7,C*RU[3]AJJ, 82.814,Cold,Secretary,9928
53,G*CM[7]YGU, 61.309,Hot,Labourer,10928
46,G*XM[3]SDS, 32.836,Cold,Secretary,5034
53,R*SC[[]BPU,119.753,Cold,Developer,10689
43,W*KW[7]9FE, 96.824,Cold,Director,10858
19,H*YH[6]ZAC, 70.091,Cold,Developer,11875
41,I*HC[7]CWT, 38.573,Cold,Plumber,11589
46,H*IM[9]PBT, 33.059,Hot,Tester,7025
20,G*NU[8]TSW, 69.782,Cold,Secretary,10043
52,O*HZ[9]NNE, 34.307,Cold,PA,10028
46,T*QG[7]OEI,106.971,Cold,Co-ordinator,7866
26,Q*CY[4]CFZ, 72.253,Hot,Tester,8352
36,L*GD[8]AOP, 18.761,Cold,Tester,8523
53,R*BF[0]LGW, 79.990,Cold,Plumber,3053
43,O*BV[9]ZWW, 24.357,Cold,Salesman,1003
29,D*UL[9]KSJ, 14.170,Hot,Co-ordinator,6058
43,UNAU[8]LMB, 97.499,Cold,Programmer,10211
27,P*AN[5]TWT, 73.921,Hot,Cleaner,2576
50,D*ZM[4]VSS, 20.503,Cold,Tester,10589
45,X*CH[7]ELJ,102.610,Hot,Cleaner,8923
9,S*EO[8]NTC, 16.972,Cold,Cleaner,7671
17,F*GR[2]LJA, 92.607,Cold,Secretary,9568
42,B*LX[8]PZW, 98.414,Cold,Designer,10611
43,G*Wt[6]EKF, 85.152,Cold,Plumber,6885
51,H*KW[8]MBQ, 60.052,Hot,Accountant,8732
38,S*EC[1]RLV, 57.449,Cold,Secretary,7717
40,Y*LB[6]BCK, 34.330,Hot,Developer,9222
48,G*TD[6]VTY, 48.577,Cold,Electrician,8224
9,U*MW[7]TTG, 89.115,Hot,Cleaner,5974
41,R*HY[3]RKD, 22.552,Hot,Leader,11683
7,Y*RE[2]YKZ, 18.831,Hot,Driver,10663
